,uuid, sensorpoint
340@1042@V,001dfb32-038a-4559-9064-f4586c8fefb0,PresentValue
1009@-497@V,0aa63943-92ef-48cb-9641-1e7e9afff426,PresentValue
891@-497@V,1bac9fc5-47ce-42c0-a8e6-145f2b478c2c,PresentValue
936@-99@V,1bd9fe4a-745c-4516-bdd0-a560c63240ae,PresentValue
1050@-497@V,202c498c-ecb4-41f5-999d-00427e2fc644,PresentValue
544@-479@V,25b27020-ff48-4f41-ac77-1d1781d343ba,PresentValue
461@1042@V,36d22595-ab7c-497b-8284-64ae4447b48e,PresentValue
657@-488@V,3734b11f-88c1-4a7c-b160-8d111db7a3c0,PresentValue
1047@-497@V,3fa7881a-1023-4114-b1ec-bf068d1f39bd,PresentValue
1046@-99@V,402ddc4e-845e-45ed-bf58-c86ad7153dc5,PresentValue
1047@-495@V,430cd248-f5e8-4ff8-82ce-090b6256c950,PresentValue
518@-130@V,435f6ebd-d5e2-4cec-aaad-9587832fbda8,PresentValue
941@-495@V,45886340-1aa4-46c4-9bdb-5a2b28c3da62,PresentValue
526@-99@V,4b03026b-9a14-415a-b567-15396db374d9,PresentValue
1049@-130@V,4d203ed9-0efc-458b-984b-02679b156c78,PresentValue
860@-505@V,4ff2e9d9-d1f4-429a-bb91-89c75ce5ed11,PresentValue
850@-118@V,55fdc945-6fd4-4dc4-9002-a64daec5f4cf,PresentValue
940@-130@V,a1a2d97e-3211-4a7e-9939-e45ecfd66b87,PresentValue
847@-505@V,5b128fbc-0bca-434a-b61e-0e0e05df89fa,PresentValue
597@-118@V,a42d771f-f176-4ce9-90ed-eb40c3fd3f9e,PresentValue
672@-99@V,5b4a9903-399e-4b79-8727-180b33822f7b,PresentValue
942@-479@V,64e56a71-caaf-4858-b5a5-dd2329b6e435,PresentValue
657@-505@V,d8522e5b-e5d8-4b6b-aef3-659697b86b0a,PresentValue
1048@-130@V,89e935dc-246e-4d35-bd08-514fd4feb958,PresentValue
847@-99@V,6d760efa-9efb-4b44-af81-08f9c712cf16,PresentValue
850@-130@V,7aec75e0-46de-4d1b-94bc-a1cd5548564d,PresentValue
880@-121@V,72aef8ee-9f84-4aba-b2eb-44cead93e380,PresentValue
939@-130@V,829deb6e-0c54-4d7d-b9ed-2fc4c1b8ddb4,PresentValue
596@-121@V,77109582-9c41-4b79-8caf-f30a63fdd30e,PresentValue
938@-121@V,f9fdc1d7-d592-4873-b7c6-27ef8579d2d6,PresentValue
517@-130@V,789a90bd-9803-4a5e-b665-479925533813,PresentValue
518@-495@V,80ac356d-9c9f-47fc-b8f1-8b80433a40db,PresentValue
943@-497@V,af84ea79-fd79-4f19-aacd-bee14e070245,PresentValue
937@-488@V,85f391d2-d8cd-4ae4-a64f-3a253484f571,PresentValue
934@-118@V,dd65c304-271c-4ff7-a6d9-1e2b393168d1,PresentValue
621@-118@V,82dd43f9-c59d-4e58-bd73-a7372ff5322b,PresentValue
496@-118@V,87730bc6-903c-4fa8-9c71-ac0c483e1369,PresentValue
860@-130@V,cd3bd105-9f4a-4d41-9ac5-6bcbd216cef1,PresentValue
1050@-130@V,a2b4dab2-b05f-49d0-a242-a63e13b10c8e,PresentValue
686@-479@V,bb71ae27-1ad4-4301-b3be-733089d72da9,PresentValue
490@-488@V,ceee8178-4550-44b8-9f10-d572219462a6,PresentValue
891@-118@V,eb1d6f51-4cf5-4568-979d-59aaf38f55fb,PresentValue
544@-130@V,f5e23192-b653-4d96-8da8-9fa7e3cd8ff5,PresentValue
1048@-121@V,fc6cd0dc-e399-451b-9c4f-0c00c9f3c581,PresentValue
889@1042@V,002f6932-9179-4ec8-b58c-5ef31d0f97ea,PresentValue
966@-118@V,07c3cdda-9a64-43ca-a39d-5033b4c3e035,PresentValue
973@-118@V,0a82ce08-997a-4b80-ba0d-2a491076736b,PresentValue
954@-497@V,0b6d3e04-c148-4ea0-9b0d-2a8465fb5401,PresentValue
943@-99@V,0fa521e1-3630-43b4-bb8b-708784078c30,PresentValue
971@-130@V,11c00ebb-13d8-4db3-8142-0d894310c895,PresentValue
976@-118@V,126cb3d7-8977-49e1-9de0-ea66413d8a26,PresentValue
383@-99@V,17accb6e-e8ac-4630-bfd2-b5ef171906b5,PresentValue
945@-479@V,307460af-9c24-4d49-9b8b-be2670039b60,PresentValue
946@-130@V,3256a1c6-b77a-4669-b646-9faf5435951a,PresentValue
942@-130@V,362ccf11-8fe4-4c1a-bf61-ef26947d1401,PresentValue
306@-110@V,37f4e46d-2502-4631-a20f-35ff09e5364e,PresentValue
971@-505@V,3a9d9cc1-1346-4cf0-9c8e-aadf46e9b708,PresentValue
1013@-479@V,3b6aecf2-a986-4d44-b3e1-5ed90fedbb84,PresentValue
947@-495@V,57b6735b-cc36-4683-89fa-d215022d397f,PresentValue
960@-130@V,f8d157cf-8fc5-48fb-8170-daae14bce050,PresentValue
1012@-118@V,e692838e-624a-4d88-bee9-2354437069b6,PresentValue
968@-479@V,4e4d2b48-72da-447a-9690-8a2b08a64313,PresentValue
968@-495@V,63db0057-13ec-4b2b-bc14-af80492e53af,PresentValue
946@-495@V,72976b57-0258-4fd3-a8ec-69aadfe4afa5,PresentValue
382@-99@V,da0b639c-1fa1-40d3-b231-0129ce1e9f10,PresentValue
1011@-495@V,52a529b1-b872-4df4-b841-ab5a37e291e0,PresentValue
1099@-118@V,7033a22a-b393-4565-a4c3-1b6050ed2160,PresentValue
398@-99@V,c415ae5a-4f97-42f6-ae36-296cf1c80b10,PresentValue
967@-130@V,dab8c32a-153c-4bd5-87e3-b40a20cd1494,PresentValue
957@-121@V,5a55be42-2b4e-46f5-8538-7e99997b6399,PresentValue
975@-495@V,af5845bd-4651-4f50-bb79-391d5baa9fad,PresentValue
944@-497@V,cb6c806e-e1e4-4a74-ac30-a4c284f14df8,PresentValue
954@-130@V,93e34839-507b-469c-858b-bf654597ae9d,PresentValue
1099@-495@V,5bb7e871-a009-4195-8b77-26d467999116,PresentValue
975@-505@V,68426a3a-35bc-4bc5-9442-c2abd195adbd,PresentValue
955@-495@V,d1dd99e2-5e8f-4cc8-afeb-ad03f654fc51,PresentValue
318@-495@V,6bd9edd2-fd3b-4f0d-a197-925408581a59,PresentValue
